,day_counter,0,1,2,3,4,5,6,7
2011-06-22,537,152,16,,,,,,
2011-06-23,538,152,16,,,,,,
2011-06-24,539,152,16,,,,,,
2011-06-25,540,151,16,,,,,,
2011-06-26,541,151,16,,,,,,
2011-06-27,542,151,16,,,,,,
2011-06-28,543,151,16,,,,,,
2011-06-29,544,151,16,,,,,,
2011-06-30,545,151,16,,,,,,
2011-07-01,546,151,16,,,,,,
2011-07-02,547,151,16,,,,,,
2011-07-03,548,151,16,,,,,,
2011-07-04,549,151,16,,,,,,
2011-07-05,550,151,16,,,,,,
2011-07-06,551,149,17,,,,,,
2011-07-07,552,149,17,,,,,,
2011-07-08,553,149,17,,,,,,
2011-07-09,554,149,17,,,,,,
2011-07-10,555,149,17,,,,,,
2011-07-11,556,149,17,,,,,,
2011-07-12,557,148,17,,,,,,
2011-07-13,558,148,17,,,,,,
2011-07-14,559,148,17,,,,,,
2011-07-15,560,149,17,,,,,,
2011-07-16,561,151,17,,,,,,
2011-07-17,562,151,17,,,,,,
2011-07-18,563,151,17,,,,,,
2011-07-19,564,153,17,,,,,,
2011-07-20,565,153,17,,,,,,
2011-07-21,566,153,17,,,,,,
2011-07-22,567,153,17,,,,,,
2011-07-23,568,153,17,,,,,,
2011-07-24,569,154,17,,,,,,
2011-07-25,570,155,17,,,,,,
2011-07-26,571,154,19,,,,,,
2011-07-27,572,154,19,,,,,,
2011-07-28,573,154,19,,,,,,
2011-07-29,574,154,19,,,,,,
2011-07-30,575,154,19,,,,,,
2011-07-31,576,154,19,,,,,,
2011-08-01,577,154,19,,,,,,
2011-08-02,578,154,19,,,,,,
2011-08-03,579,153,19,,,,,,
2011-08-04,580,153,19,,,,,,
2011-08-05,581,153,19,,,,,,
2011-08-06,582,153,19,,,,,,
2011-08-07,583,153,19,,,,,,
2011-08-08,584,153,19,,,,,,
2011-08-09,585,153,19,,,,,,
2011-08-10,586,153,19,,,,,,
2011-08-11,587,153,19,,,,,,
2011-08-12,588,153,19,,,,,,
2011-08-13,589,153,19,,,,,,
2011-08-14,590,153,19,,,,,,
2011-08-15,591,153,19,,,,,,
2011-08-16,592,153,19,,,,,,
2011-08-17,593,154,19,,,,,,
2011-08-18,594,154,19,,,,,,
2011-08-19,595,153,21,,,,,,
2011-08-20,596,153,21,,,,,,
2011-08-21,597,155,21,,,,,,
2011-08-22,598,155,21,,,,,,
2011-08-23,599,155,21,,,,,,
2011-08-24,600,156,21,,,,,,
2011-08-25,601,156,21,,,,,,
2011-08-26,602,156,23,,,,,,
2011-08-27,603,157,23,,,,,,
2011-08-28,604,157,23,,,,,,
2011-08-29,605,158,23,,,,,,
2011-08-30,606,159,23,,,,,,
2011-08-31,607,159,23,,,,,,
2011-09-01,608,158,24,,,,,,
2011-09-02,609,158,24,,,,,,
2011-09-03,610,157,24,,,,,,
2011-09-04,611,158,24,,,,,,
2011-09-05,612,158,24,,,,,,
2011-09-06,613,158,24,,,,,,
2011-09-07,614,158,24,,,,,,
2011-09-08,615,159,24,,,,,,
2011-09-09,616,160,24,,,,,,
2011-09-10,617,161,24,,,,,,
2011-09-11,618,162,23,,,,,,
2011-09-12,619,163,21,,,,,,
2011-09-13,620,163,21,,,,,,
2011-09-14,621,164,21,,,,,,
2011-09-15,622,164,21,,,,,,
2011-09-16,623,165,21,,,,,,
2011-09-17,624,165,21,,,,,,
2011-09-18,625,165,21,,,,,,
2011-09-19,626,163,21,,,,,,
2011-09-20,627,164,21,,,,,,
2011-09-21,628,165,22,,,,,,
2011-09-22,629,165,22,,,,,,
2011-09-23,630,167,22,,,,,,
2011-09-24,631,167,22,,,,,,
2011-09-25,632,167,22,,,,,,
2011-09-26,633,166,22,,,,,,
2011-09-27,634,167,22,,,,,,
2011-09-28,635,167,22,,,,,,
2011-09-29,636,167,22,,,,,,
2011-09-30,637,169,22,,,,,,
2011-10-01,638,169,22,,,,,,
2011-10-02,639,169,22,,,,,,
2011-10-03,640,169,22,,,,,,
2011-10-04,641,168,22,,,,,,
2011-10-05,642,168,22,,,,,,
2011-10-06,643,168,22,,,,,,
2011-10-07,644,168,22,,,,,,
2011-10-08,645,168,22,,,,,,
2011-10-09,646,168,22,,,,,,
2011-10-10,647,168,22,,,,,,
2011-10-11,648,167,22,,,,,,
2011-10-12,649,167,22,,,,,,
2011-10-13,650,167,22,,,,,,
2011-10-14,651,167,22,,,,,,
2011-10-15,652,167,22,,,,,,
2011-10-16,653,167,22,,,,,,
2011-10-17,654,167,22,,,,,,
2011-10-18,655,167,22,,,,,,
2011-10-19,656,167,22,,,,,,
2011-10-20,657,167,22,,,,,,
2011-10-21,658,166,22,,,,,,
2011-10-22,659,165,22,,,,,,
2011-10-23,660,165,22,,,,,,
2011-10-24,661,165,22,,,,,,
2011-10-25,662,165,22,,,,,,
2011-10-26,663,165,22,,,,,,
2011-10-27,664,165,22,,,,,,
2011-10-28,665,165,22,,,,,,
2011-10-29,666,165,22,,,,,,
2011-10-30,667,165,22,,,,,,
2011-10-31,668,164,22,,,,,,
2011-11-01,669,164,22,,,,,,
2011-11-02,670,164,22,,,,,,
2011-11-03,671,164,22,,,,,,
2011-11-04,672,165,22,,,,,,
2011-11-05,673,165,22,,,,,,
2011-11-06,674,165,22,,,,,,
2011-11-07,675,166,22,,,,,,
2011-11-08,676,166,22,,,,,,
2011-11-09,677,167,22,,,,,,
2011-11-10,678,167,22,,,,,,
2011-11-11,679,166,22,,,,,,
2011-11-12,680,166,22,,,,,,
2011-11-13,681,166,22,,,,,,
2011-11-14,682,167,22,,,,,,
2011-11-15,683,167,22,,,,,,
2011-11-16,684,170,20,,,,,,
2011-11-17,685,169,20,,,,,,
2011-11-18,686,169,20,,,,,,
2011-11-19,687,169,20,,,,,,
2011-11-20,688,169,20,,,,,,
2011-11-21,689,169,20,,,,,,
2011-11-22,690,170,20,,,,,,
2011-11-23,691,170,20,,,,,,
2011-11-24,692,170,20,,,,,,
2011-11-25,693,170,20,,,,,,
2011-11-26,694,170,20,,,,,,
2011-11-27,695,170,20,,,,,,
2011-11-28,696,171,20,,,,,,
2011-11-29,697,171,20,,,,,,
2011-11-30,698,172,18,,,,,,
2011-12-01,699,171,18,,,,,,
2011-12-02,700,171,18,,,,,,
2011-12-03,701,171,18,,,,,,
2011-12-04,702,172,18,,,,,,
2011-12-05,703,173,18,,,,,,
2011-12-06,704,173,18,,,,,,
2011-12-07,705,175,18,,,,,,
2011-12-08,706,175,18,,,,,,
2011-12-09,707,176,18,,,,,,
2011-12-10,708,177,18,,,,,,
2011-12-11,709,178,18,,,,,,
2011-12-12,710,180,18,,,,,,
2011-12-13,711,180,18,,,,,,
2011-12-14,712,180,18,,,,,,
2011-12-15,713,180,18,,,,,,
2011-12-16,714,178,20,,,,,,
2011-12-17,715,177,21,,,,,,
2011-12-18,716,176,23,,,,,,
2011-12-19,717,176,23,,,,,,
2011-12-20,718,178,23,,,,,,
2011-12-21,719,179,23,,,,,,
