,day_counter,0,1,2,3,4,5,6
2011-08-12,588,107,4,,,,,
2011-08-13,589,107,4,,,,,
2011-08-14,590,107,4,,,,,
2011-08-15,591,107,4,,,,,
2011-08-16,592,106,4,,,,,
2011-08-17,593,107,4,,,,,
2011-08-18,594,107,4,,,,,
2011-08-19,595,107,4,,,,,
2011-08-20,596,106,4,,,,,
2011-08-21,597,107,4,,,,,
2011-08-22,598,107,4,,,,,
2011-08-23,599,107,4,,,,,
2011-08-24,600,108,4,,,,,
2011-08-25,601,108,4,,,,,
2011-08-26,602,108,4,,,,,
2011-08-27,603,110,4,,,,,
2011-08-28,604,110,4,,,,,
2011-08-29,605,111,4,,,,,
2011-08-30,606,112,4,,,,,
2011-08-31,607,112,4,,,,,
2011-09-01,608,112,4,,,,,
2011-09-02,609,112,4,,,,,
2011-09-03,610,112,4,,,,,
2011-09-04,611,112,4,,,,,
2011-09-05,612,112,4,,,,,
2011-09-06,613,112,4,,,,,
2011-09-07,614,112,4,,,,,
2011-09-08,615,112,4,,,,,
2011-09-09,616,113,4,,,,,
2011-09-10,617,113,4,,,,,
2011-09-11,618,114,4,,,,,
2011-09-12,619,114,4,,,,,
2011-09-13,620,114,4,,,,,
2011-09-14,621,115,4,,,,,
2011-09-15,622,115,4,,,,,
2011-09-16,623,116,4,,,,,
2011-09-17,624,116,4,,,,,
2011-09-18,625,116,4,,,,,
2011-09-19,626,116,4,,,,,
2011-09-20,627,117,4,,,,,
2011-09-21,628,119,4,,,,,
2011-09-22,629,118,4,,,,,
2011-09-23,630,119,4,,,,,
2011-09-24,631,119,4,,,,,
2011-09-25,632,119,4,,,,,
2011-09-26,633,118,4,,,,,
2011-09-27,634,119,4,,,,,
2011-09-28,635,118,4,,,,,
2011-09-29,636,118,4,,,,,
2011-09-30,637,120,4,,,,,
2011-10-01,638,120,4,,,,,
2011-10-02,639,120,4,,,,,
2011-10-03,640,120,4,,,,,
2011-10-04,641,120,4,,,,,
2011-10-05,642,118,4,,,,,
2011-10-06,643,118,4,,,,,
2011-10-07,644,118,4,,,,,
2011-10-08,645,118,4,,,,,
2011-10-09,646,118,4,,,,,
2011-10-10,647,118,4,,,,,
2011-10-11,648,118,4,,,,,
2011-10-12,649,118,4,,,,,
2011-10-13,650,118,4,,,,,
2011-10-14,651,118,4,,,,,
2011-10-15,652,118,4,,,,,
2011-10-16,653,118,4,,,,,
2011-10-17,654,118,4,,,,,
2011-10-18,655,118,4,,,,,
2011-10-19,656,118,4,,,,,
2011-10-20,657,118,4,,,,,
2011-10-21,658,116,4,,,,,
2011-10-22,659,117,2,,,,,
2011-10-23,660,117,2,,,,,
2011-10-24,661,117,2,,,,,
2011-10-25,662,117,2,,,,,
2011-10-26,663,117,2,,,,,
2011-10-27,664,116,2,,,,,
2011-10-28,665,116,2,,,,,
2011-10-29,666,116,2,,,,,
2011-10-30,667,116,2,,,,,
2011-10-31,668,115,3,,,,,
2011-11-01,669,116,3,,,,,
2011-11-02,670,116,3,,,,,
2011-11-03,671,116,3,,,,,
2011-11-04,672,117,3,,,,,
2011-11-05,673,117,3,,,,,
2011-11-06,674,117,3,,,,,
2011-11-07,675,116,3,,,,,
2011-11-08,676,116,3,,,,,
2011-11-09,677,117,3,,,,,
2011-11-10,678,117,3,,,,,
2011-11-11,679,117,3,,,,,
2011-11-12,680,117,3,,,,,
2011-11-13,681,117,3,,,,,
2011-11-14,682,119,3,,,,,
2011-11-15,683,119,3,,,,,
