,day_counter,0,1,2,3,4,5,6,7
2011-06-08,523,105,18,,,,,,
2011-06-09,524,106,18,,,,,,
2011-06-10,525,107,18,,,,,,
2011-06-11,526,107,18,,,,,,
2011-06-12,527,107,18,,,,,,
2011-06-13,528,107,18,,,,,,
2011-06-14,529,107,18,,,,,,
2011-06-15,530,107,18,,,,,,
2011-06-16,531,108,18,,,,,,
2011-06-17,532,108,18,,,,,,
2011-06-18,533,109,18,,,,,,
2011-06-19,534,109,18,,,,,,
2011-06-20,535,109,18,,,,,,
2011-06-21,536,110,18,,,,,,
2011-06-22,537,110,18,,,,,,
2011-06-23,538,110,18,,,,,,
2011-06-24,539,110,18,,,,,,
2011-06-25,540,111,18,,,,,,
2011-06-26,541,111,18,,,,,,
2011-06-27,542,111,18,,,,,,
2011-06-28,543,112,18,,,,,,
2011-06-29,544,113,18,,,,,,
2011-06-30,545,113,18,,,,,,
2011-07-01,546,113,18,,,,,,
2011-07-02,547,113,19,,,,,,
2011-07-03,548,113,18,,,,,,
2011-07-04,549,113,18,,,,,,
2011-07-05,550,113,18,,,,,,
2011-07-06,551,111,19,,,,,,
2011-07-07,552,111,19,,,,,,
2011-07-08,553,111,19,,,,,,
2011-07-09,554,111,19,,,,,,
2011-07-10,555,111,19,,,,,,
2011-07-11,556,111,19,,,,,,
2011-07-12,557,111,17,,,,,,
2011-07-13,558,111,17,,,,,,
2011-07-14,559,111,17,,,,,,
2011-07-15,560,112,17,,,,,,
2011-07-16,561,114,17,,,,,,
2011-07-17,562,114,17,,,,,,
2011-07-18,563,115,17,,,,,,
2011-07-19,564,117,17,,,,,,
2011-07-20,565,117,17,,,,,,
2011-07-21,566,117,17,,,,,,
2011-07-22,567,117,17,,,,,,
2011-07-23,568,117,17,,,,,,
2011-07-24,569,119,17,,,,,,
2011-07-25,570,120,17,,,,,,
2011-07-26,571,121,17,,,,,,
2011-07-27,572,120,17,,,,,,
2011-07-28,573,120,17,,,,,,
2011-07-29,574,120,17,,,,,,
2011-07-30,575,120,17,,,,,,
2011-07-31,576,120,17,,,,,,
2011-08-01,577,120,17,,,,,,
2011-08-02,578,120,17,,,,,,
2011-08-03,579,120,16,,,,,,
2011-08-04,580,120,16,,,,,,
2011-08-05,581,120,16,,,,,,
2011-08-06,582,120,16,,,,,,
2011-08-07,583,120,16,,,,,,
2011-08-08,584,120,16,,,,,,
2011-08-09,585,120,16,,,,,,
2011-08-10,586,120,16,,,,,,
2011-08-11,587,120,16,,,,,,
2011-08-12,588,120,16,,,,,,
2011-08-13,589,120,16,,,,,,
2011-08-14,590,120,16,,,,,,
2011-08-15,591,120,16,,,,,,
2011-08-16,592,118,16,,,,,,
2011-08-17,593,118,16,,,,,,
2011-08-18,594,117,16,,,,,,
2011-08-19,595,117,16,,,,,,
2011-08-20,596,117,16,,,,,,
2011-08-21,597,119,16,,,,,,
2011-08-22,598,119,16,,,,,,
2011-08-23,599,119,16,,,,,,
2011-08-24,600,121,16,,,,,,
2011-08-25,601,121,16,,,,,,
2011-08-26,602,121,18,,,,,,
2011-08-27,603,123,18,,,,,,
2011-08-28,604,123,18,,,,,,
2011-08-29,605,124,18,,,,,,
2011-08-30,606,125,18,,,,,,
2011-08-31,607,124,18,,,,,,
2011-09-01,608,122,19,,,,,,
2011-09-02,609,122,19,,,,,,
2011-09-03,610,120,19,,,,,,
2011-09-04,611,121,19,,,,,,
2011-09-05,612,121,19,,,,,,
2011-09-06,613,121,19,,,,,,
2011-09-07,614,121,19,,,,,,
2011-09-08,615,122,19,,,,,,
2011-09-09,616,123,19,,,,,,
2011-09-10,617,124,19,,,,,,
2011-09-11,618,125,19,,,,,,
2011-09-12,619,125,19,,,,,,
2011-09-13,620,125,19,,,,,,
2011-09-14,621,126,19,,,,,,
2011-09-15,622,126,19,,,,,,
2011-09-16,623,127,19,,,,,,
2011-09-17,624,127,19,,,,,,
2011-09-18,625,127,19,,,,,,
2011-09-19,626,124,19,,,,,,
2011-09-20,627,125,19,,,,,,
2011-09-21,628,124,20,,,,,,
2011-09-22,629,124,20,,,,,,
2011-09-23,630,125,20,,,,,,
2011-09-24,631,125,20,,,,,,
2011-09-25,632,125,20,,,,,,
2011-09-26,633,125,20,,,,,,
2011-09-27,634,126,20,,,,,,
2011-09-28,635,126,20,,,,,,
2011-09-29,636,126,20,,,,,,
2011-09-30,637,128,20,,,,,,
2011-10-01,638,128,20,,,,,,
2011-10-02,639,128,20,,,,,,
2011-10-03,640,128,20,,,,,,
2011-10-04,641,127,20,,,,,,
2011-10-05,642,127,20,,,,,,
2011-10-06,643,127,20,,,,,,
2011-10-07,644,127,20,,,,,,
2011-10-08,645,127,20,,,,,,
2011-10-09,646,127,20,,,,,,
2011-10-10,647,127,20,,,,,,
2011-10-11,648,125,20,,,,,,
2011-10-12,649,125,20,,,,,,
2011-10-13,650,125,20,,,,,,
2011-10-14,651,125,20,,,,,,
2011-10-15,652,125,20,,,,,,
2011-10-16,653,125,20,,,,,,
2011-10-17,654,125,20,,,,,,
2011-10-18,655,125,20,,,,,,
2011-10-19,656,125,20,,,,,,
2011-10-20,657,125,20,,,,,,
2011-10-21,658,124,20,,,,,,
2011-10-22,659,124,20,,,,,,
2011-10-23,660,124,20,,,,,,
2011-10-24,661,124,20,,,,,,
2011-10-25,662,124,20,,,,,,
2011-10-26,663,124,20,,,,,,
2011-10-27,664,121,20,,,,,,
2011-10-28,665,120,20,,,,,,
2011-10-29,666,120,20,,,,,,
2011-10-30,667,120,20,,,,,,
2011-10-31,668,120,20,,,,,,
2011-11-01,669,121,20,,,,,,
2011-11-02,670,121,20,,,,,,
2011-11-03,671,121,20,,,,,,
2011-11-04,672,122,20,,,,,,
2011-11-05,673,122,20,,,,,,
2011-11-06,674,122,20,,,,,,
2011-11-07,675,123,20,,,,,,
2011-11-08,676,123,20,,,,,,
2011-11-09,677,124,20,,,,,,
2011-11-10,678,124,20,,,,,,
2011-11-11,679,122,20,,,,,,
2011-11-12,680,122,20,,,,,,
2011-11-13,681,122,20,,,,,,
2011-11-14,682,123,20,,,,,,
2011-11-15,683,123,20,,,,,,
2011-11-16,684,126,18,,,,,,
2011-11-17,685,126,18,,,,,,
2011-11-18,686,126,18,,,,,,
2011-11-19,687,126,18,,,,,,
2011-11-20,688,126,18,,,,,,
2011-11-21,689,126,18,,,,,,
2011-11-22,690,128,18,,,,,,
2011-11-23,691,128,18,,,,,,
2011-11-24,692,128,18,,,,,,
2011-11-25,693,128,18,,,,,,
2011-11-26,694,128,18,,,,,,
2011-11-27,695,128,18,,,,,,
2011-11-28,696,128,18,,,,,,
2011-11-29,697,127,18,,,,,,
2011-11-30,698,125,18,,,,,,
2011-12-01,699,124,18,,,,,,
2011-12-02,700,124,18,,,,,,
2011-12-03,701,124,18,,,,,,
2011-12-04,702,125,18,,,,,,
2011-12-05,703,126,18,,,,,,
2011-12-06,704,126,18,,,,,,
2011-12-07,705,129,16,,,,,,
2011-12-08,706,129,16,,,,,,
2011-12-09,707,131,16,,,,,,
2011-12-10,708,132,16,,,,,,
2011-12-11,709,133,16,,,,,,
2011-12-12,710,134,16,,,,,,
2011-12-13,711,134,16,,,,,,
2011-12-14,712,134,16,,,,,,
2011-12-15,713,134,16,,,,,,
2011-12-16,714,132,16,,,,,,
2011-12-17,715,131,16,,,,,,
2011-12-18,716,130,18,,,,,,
2011-12-19,717,130,18,,,,,,
2011-12-20,718,132,18,,,,,,
2011-12-21,719,133,18,,,,,,
2011-12-22,720,133,18,,,,,,
2011-12-23,721,132,18,,,,,,
2011-12-24,722,132,18,,,,,,
2011-12-25,723,131,18,,,,,,
2011-12-26,724,131,18,,,,,,
2011-12-27,725,131,18,,,,,,
2011-12-28,726,131,18,,,,,,
2011-12-29,727,131,18,,,,,,
2011-12-30,728,131,18,,,,,,
2011-12-31,729,131,18,,,,,,
2012-01-01,730,128,18,,,,,,
2012-01-02,731,128,18,,,,,,
